********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend,C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","pH","F_pH","Turb","F_Turb",
noczbwq,P,01/01/2022 00:00,1,1,,19.3,<0> ,42.55,<0> ,27.4,<0> ,55.6,<0> ,4.4,<0> ,0.29,<0> ,0.26,<3> [GCC],7.2,<0> ,32,<0> ,
noczbwq,P,01/01/2022 00:15,1,1,,19.3,<0> ,42.47,<0> ,27.4,<0> ,54.6,<0> ,4.3,<0> ,0.25,<0> ,0.22,<3> [GCC],7.2,<0> ,43,<0> ,
noczbwq,P,01/01/2022 00:30,1,1,,19.2,<0> ,42.41,<0> ,27.3,<0> ,53.6,<0> ,4.2,<0> ,0.23,<0> ,0.20,<3> [GCC],7.2,<0> ,45,<0> ,
noczbwq,P,01/01/2022 00:45,1,1,,19.2,<0> ,42.33,<0> ,27.3,<0> ,53.1,<0> ,4.2,<0> ,0.21,<0> ,0.18,<3> [GCC],7.2,<0> ,71,<0> ,
noczbwq,P,01/01/2022 01:00,1,1,,19.1,<0> ,42.25,<0> ,27.2,<0> ,52.6,<0> ,4.1,<0> ,0.18,<0> ,0.15,<3> [GCC],7.2,<0> ,153,<0> ,
noczbwq,P,01/01/2022 01:15,1,1,,19.0,<0> ,42.34,<0> ,27.3,<0> ,50.3,<0> ,4.0,<0> ,0.16,<0> ,0.14,<3> [GCC],7.2,<0> ,281,<0> ,
noczbwq,P,01/01/2022 01:30,1,1,,18.9,<0> ,42.46,<0> ,27.4,<0> ,55.6,<0> ,4.4,<0> ,0.14,<0> ,0.12,<3> [GCC],7.2,<0> ,168,<0> ,
noczbwq,P,01/01/2022 01:45,1,1,,18.7,<0> ,42.51,<0> ,27.4,<0> ,58.7,<0> ,4.7,<0> ,0.12,<0> ,0.10,<3> [GCC],7.2,<0> ,89,<0> ,
noczbwq,P,01/01/2022 02:00,1,1,,18.7,<0> ,42.94,<0> ,27.7,<0> ,64.8,<0> ,5.1,<0> ,0.12,<0> ,0.10,<3> [GCC],7.2,<0> ,122,<0> ,
noczbwq,P,01/01/2022 02:15,1,1,,18.6,<0> ,43.30,<0> ,28.0,<0> ,70.6,<0> ,5.6,<0> ,0.12,<0> ,0.10,<3> [GCC],7.3,<0> ,68,<0> ,
noczbwq,P,01/01/2022 02:30,1,1,,18.6,<0> ,43.15,<0> ,27.8,<0> ,71.4,<0> ,5.7,<0> ,0.15,<0> ,0.13,<3> [GCC],7.3,<0> ,66,<0> ,
noczbwq,P,01/01/2022 02:45,1,1,,18.9,<0> ,42.61,<0> ,27.5,<0> ,71.0,<0> ,5.6,<0> ,0.18,<0> ,0.16,<3> [GCC],7.3,<0> ,63,<0> ,
noczbwq,P,01/01/2022 03:00,1,1,,18.9,<0> ,42.48,<0> ,27.4,<0> ,70.0,<0> ,5.5,<0> ,0.23,<0> ,0.21,<3> [GCC],7.3,<0> ,86,<0> ,
noczbwq,P,01/01/2022 03:15,1,1,,19.0,<0> ,42.63,<0> ,27.5,<0> ,70.3,<0> ,5.5,<0> ,0.30,<0> ,0.28,<3> [GCC],7.3,<0> ,97,<0> ,
noczbwq,P,01/01/2022 03:30,1,1,,19.1,<0> ,42.94,<0> ,27.7,<0> ,73.2,<0> ,5.8,<0> ,0.39,<0> ,0.37,<3> [GCC],7.4,<0> ,108,<0> ,
noczbwq,P,01/01/2022 03:45,1,1,,19.2,<0> ,43.19,<0> ,27.9,<0> ,73.5,<0> ,5.8,<0> ,0.51,<0> ,0.49,<3> [GCC],7.4,<0> ,79,<0> ,
noczbwq,P,01/01/2022 04:00,1,1,,19.1,<0> ,43.19,<0> ,27.9,<0> ,73.6,<0> ,5.8,<0> ,0.66,<0> ,0.64,<3> [GCC],7.4,<0> ,56,<0> ,
noczbwq,P,01/01/2022 04:15,1,1,,18.5,<0> ,43.41,<0> ,28.0,<0> ,73.9,<0> ,5.9,<0> ,0.83,<0> ,0.81,<3> [GCC],7.3,<0> ,49,<0> ,
noczbwq,P,01/01/2022 04:30,1,1,,18.2,<0> ,44.04,<0> ,28.5,<0> ,81.7,<0> ,6.5,<0> ,1.00,<0> ,0.98,<3> [GCC],7.5,<0> ,41,<0> ,
noczbwq,P,01/01/2022 04:45,1,1,,18.3,<0> ,44.11,<0> ,28.5,<0> ,81.9,<0> ,6.5,<0> ,1.14,<0> ,1.12,<3> [GCC],7.5,<0> ,21,<0> ,
